Time,Error
0,724.5925348
100,724.5921861
200,724.5918373
300,724.5914886
400,724.5911399
500,724.5907912
600,590.994697
700,590.9950761
800,590.9954553
900,590.9958344
1000,590.9962135
1100,425.6694156
1200,425.668999
1300,425.6685824
1400,425.6681659
1500,425.6677493
1600,442.4266801
1700,442.4268316
1800,442.426983
1900,442.4271345
2000,442.427286
2100,376.5809997
2200,376.5807265
2300,376.5804534
2400,376.5801802
2500,376.579907
2600,389.7986515
2700,389.7987118
2800,389.7987721
2900,389.7988323
3000,389.7988926
3100,306.9378671
3200,306.9377018
3300,306.9375365
3400,306.9373712
3500,306.9372059
3600,311.0192211
3700,311.0190494
3800,311.0188778
3900,311.0187061
4000,311.0185345
4100,276.3471422
4200,276.3470554
4300,276.3469685
4400,276.3468817
4500,276.3467948
4600,271.1338833
4700,271.1337659
4800,271.1336484
4900,271.133531
5000,271.1334136
5100,194.7121064
5200,194.7119547
5300,194.711803
5400,194.7116513
5500,194.7114997
5600,112.6431478
5700,112.6432504
5800,112.643353
5900,112.6434556
6000,112.6435582
6100,96.43970378
6200,96.43983047
6300,96.43995716
6400,96.44008385
6500,96.44021054
6600,87.17370712
6700,87.17383609
6800,87.17396506
6900,87.17409403
7000,87.174223
7100,80.33687452
7200,80.33700951
7300,80.33714449
7400,80.33727948
7500,80.33741446
7600,74.35903398
7700,74.35916485
7800,74.35929571
7900,74.35942657
8000,74.35955744
8100,68.9753733
8200,68.97550019
8300,68.97562708
8400,68.97575398
8500,68.97588087
8600,64.11813689
8700,64.11826007
8800,64.11838324
8900,64.11850641
9000,64.11862958
9100,59.73313784
9200,59.73325751
9300,59.73337718
9400,59.73349685
9500,59.73361651
9600,55.77170275
9700,55.77181912
9800,55.77193548
9900,55.77205184
