ATS (100 broadcast interval, tuning parameters = 0.5)
Tick,Average error
0,954.6425040690175
1,954.6425452292984
2,954.6425863895795
3,954.6426275498607
4,954.6426687101412
5,954.6427098704226
6,954.6427510307033
7,954.6427921909844
8,954.6428333512653
9,954.6428745115464
10,954.6429156718275
11,954.6429568321083
12,954.6429979923892
13,954.6430391526704
14,954.6430803129516
15,954.6431214732323
16,954.6431626335134
17,954.6432037937943
18,954.6432449540755
19,954.6432861143566
20,954.6433272746376
21,954.6433684349183
22,954.6434095951995
23,954.6434507554803
24,954.6434919157613
25,954.6435330760426
26,954.6435742363232
27,954.6436153966043
28,954.6436565568855
29,954.6436977171662
30,954.6437388774473
31,954.6437800377284
32,954.6438211980095
33,954.6438623582908
34,954.6439035185713
35,954.6439446788524
36,954.6439858391335
37,954.6440269994145
38,954.6440681596956
39,954.6441093199766
40,954.6441504802573
41,954.6441916405383
42,954.6442328008194
43,954.6442739611006
44,954.6443151213814
45,954.6443562816625
46,954.6443974419433
47,954.6444386022242
48,954.6444797625059
49,954.6445209227865
50,954.6445620830674
51,954.6446032433487
52,954.6446444036296
53,954.6446855639109
54,954.6447267241914
55,954.6447678844726
56,954.6448090447535
57,954.6448502050346
58,954.6448913653157
59,954.6449325255963
60,954.6449736858777
61,954.6450148461585
62,954.6450560064395
63,954.6450971667205
64,954.6451383270013
65,954.6451794872827
66,954.6452206475635
67,954.6452618078447
68,954.6453029681256
69,954.6453441284067
70,954.6453852886879
71,954.6454264489687
72,954.6454676092499
73,954.6455087695305
74,954.6455499298115
75,954.6455910900925
76,954.6456322503739
77,954.6456734106547
78,954.6457145709354
79,954.6457557312165
80,954.6457968914976
81,954.6458380517787
82,954.6458792120595
83,954.6459203723405
84,954.6459615326216
85,954.6460026929027
86,954.6460438531838
87,954.6460850134648
88,954.6461261737455
89,954.6461673340268
90,954.6462084943076
91,954.6462496545887
92,954.6462908148698
93,954.6463319751507
94,954.6463731354316
95,954.6464142957125
96,954.6464554559938
97,954.6464966162747
98,954.6465377765558
99,954.6465789368369
100,954.6466200971175
101,954.6466612573987
102,954.6467024176795
103,954.6467435779607
104,954.646784738242
105,296.46855076594437
106,535.4511118013663
107,535.4511083198231
108,535.4511048382799
109,535.4511013567368
110,535.4510978751937
111,535.4510943936506
112,535.4510909121071
113,535.451087430564
114,535.4510839490209
115,535.4510804674778
116,535.4510769859347
117,535.4510735043915
118,535.4510700228482
119,535.4510665413051
120,535.4510630597619
121,535.4510595782187
122,535.4510560966754
123,535.4510526151325
124,535.4510491335892
125,535.451045652046
126,535.4510421705029
127,535.4510386889597
128,535.4510352074163
129,535.4510317258732
130,535.4510282443301
131,535.4510247627871
132,535.4510212812439
133,535.4510177997007
134,535.4510143181575
135,535.4510108366144
136,535.451007355071
137,535.451003873528
138,535.4510003919847
139,535.4509969104417
140,535.4509934288984
141,535.450989947355
142,535.450986465812
143,535.4509829842689
144,535.4509795027258
145,535.4509760211826
146,535.4509725396392
147,535.4509690580962
148,535.450965576553
149,535.4509620950098
150,535.4509586134666
151,535.4509551319235
152,535.4509516503804
153,535.4509481688372
154,535.4509446872939
155,535.4509412057507
156,535.4509377242077
157,535.4509342426644
158,535.4509307611213
159,535.4509272795781
160,535.450923798035
161,535.4509203164919
162,535.4509168349485
163,535.4509133534053
164,535.4509098718623
165,535.450906390319
166,535.450902908776
167,535.4508994272327
168,535.4508959456896
169,535.4508924641464
170,535.4508889826033
171,535.4508855010599
172,535.4508820195168
173,535.4508785379737
174,535.4508750564304
175,535.4508715748874
176,535.4508680933441
177,535.450864611801
178,535.4508611302577
179,535.4508576487146
180,535.4508541671715
181,535.4508506856282
182,535.4508472040851
183,535.4508437225418
184,535.4508402409988
185,535.4508367594557
186,535.4508332779125
187,535.4508297963694
188,535.4508263148259
189,535.4508228332829
190,535.4508193517396
191,535.4508158701965
192,535.4508123886534
193,535.4508089071102
194,535.4508054255671
195,535.4508019440239
196,535.4507984624806
197,535.4507949809375
198,535.4507914993943
199,535.4507880178512
200,535.450784536308
201,535.4507810547649
202,535.4507775732214
203,535.4507740916785
204,535.4507706101351
205,328.62935493317434
206,328.62935144948415
207,385.17151018117875
208,385.17150461317345
209,385.17149904516833
210,385.17149347716315
211,385.1714879091581
212,385.17148234115285
213,385.1714767731479
214,385.17147120514267
215,385.1714656371376
216,385.1714600691324
217,385.1714545011273
218,385.1714489331222
219,385.17144336511706
220,385.17143779711193
221,385.1714322291068
222,385.17142666110163
223,385.1714210930965
224,385.17141552509145
225,385.1714099570864
226,385.17140438908115
227,385.171398821076
228,385.1713932530709
229,385.1713876850657
230,385.1713821170605
231,385.1713765490555
232,385.1713709810503
233,385.1713654130452
234,385.1713598450401
235,385.17135427703494
236,385.17134870902987
237,385.17134314102475
238,385.1713375730196
239,385.1713320050144
240,385.1713264370093
241,385.1713208690042
242,385.17131530099897
243,385.17130973299396
244,385.1713041649889
245,385.17129859698366
246,385.1712930289786
247,385.1712874609734
248,385.17128189296835
249,385.1712763249632
250,385.17127075695794
251,385.1712651889528
252,385.17125962094775
253,385.1712540529427
254,385.17124848493745
255,385.1712429169324
256,385.1712373489273
257,385.17123178092226
258,385.17122621291696
259,385.1712206449119
260,385.17121507690683
261,385.1712095089016
262,385.17120394089665
263,385.17119837289135
264,385.17119280488606
265,385.171187236881
266,385.171181668876
267,385.1711761008708
268,385.17117053286563
269,385.17116496486057
270,385.17115939685544
271,385.17115382885027
272,385.17114826084514
273,385.1711426928399
274,385.17113712483496
275,385.1711315568297
276,385.17112598882466
277,385.1711204208194
278,385.17111485281436
279,385.17110928480923
280,385.171103716804
281,385.171098148799
282,385.17109258079375
283,385.1710870127887
284,385.1710814447836
285,385.1710758767785
286,385.17107030877327
287,385.17106474076826
288,385.1710591727631
289,385.17105360475796
290,385.17104803675284
291,385.1710424687477
292,385.1710369007426
293,385.1710313327374
294,385.17102576473235
295,385.17102019672717
296,385.17101462872205
297,385.17100906071676
298,385.17100349271175
299,385.1709979247066
300,385.17099235670156
301,385.17098678869627
302,385.17098122069115
303,385.170975652686
304,385.17097008468096
305,249.42757617499797
306,249.4275747493007
307,249.42757332360333
308,213.19857249333015
309,213.19857076314912
310,213.198569032968
311,213.1985673027869
312,213.19856557260584
313,213.19856384242476
314,213.19856211224374
315,213.19856038206268
316,213.19855865188163
317,213.19855692170057
318,213.19855519151952
319,213.1985534613385
320,213.19855173115738
321,213.19855000097633
322,213.19854827079524
323,213.1985465406141
324,213.1985448104332
325,213.19854308025205
326,213.19854135007097
327,213.19853961988989
328,213.1985378897089
329,213.19853615952783
330,213.1985344293467
331,213.19853269916572
332,213.19853096898458
333,213.19852923880353
334,213.19852750862248
335,213.1985257784414
336,213.19852404826045
337,213.19852231807926
338,213.1985205878982
339,213.1985188577172
340,213.19851712753615
341,213.19851539735504
342,213.19851366717398
343,213.1985119369929
344,213.1985102068119
345,213.19850847663076
346,213.1985067464497
347,213.19850501626868
348,213.19850328608763
349,213.19850155590655
350,213.19849982572552
351,213.19849809554447
352,213.19849636536335
353,213.1984946351823
354,213.19849290500122
355,213.1984911748202
356,213.19848944463908
357,213.19848771445805
358,213.198485984277
359,213.1984842540959
360,213.19848252391486
361,213.19848079373375
362,213.19847906355272
363,213.19847733337164
364,213.19847560319056
365,213.19847387300962
366,213.19847214282842
367,213.19847041264745
368,213.19846868246634
369,213.19846695228526
370,213.19846522210423
371,213.19846349192315
372,213.19846176174212
373,213.198460031561
374,213.19845830137993
375,213.1984565711989
376,213.1984548410179
377,213.19845311083682
378,213.19845138065574
379,213.1984496504747
380,213.19844792029363
381,213.19844619011255
382,213.1984444599315
383,213.1984427297505
384,213.19844099956927
385,213.19843926938825
386,213.19843753920725
387,213.19843580902617
388,213.19843407884508
389,213.198432348664
390,213.19843061848297
391,213.19842888830192
392,213.1984271581208
393,213.19842542793975
394,213.19842369775878
395,213.19842196757767
396,213.19842023739656
397,213.19841850721554
398,213.19841677703448
399,213.1984150468534
400,213.19841331667234
401,213.19841158649132
402,213.19840985631018
403,213.19840812612915
404,213.19840639594807
405,118.16945740843163
406,118.16945768041606
407,118.16945795240042
408,118.16945822438485
409,156.7427631412349
410,156.74276212253957
411,156.7427611038443
412,156.74276008514897
413,156.74275906645363
414,156.7427580477584
415,156.74275702906306
416,156.74275601036774
417,156.7427549916724
418,156.74275397297717
419,156.74275295428185
420,156.74275193558654
421,156.7427509168912
422,156.7427498981959
423,156.7427488795006
424,156.74274786080525
425,156.74274684211002
426,156.7427458234147
427,156.7427448047194
428,156.74274378602408
429,156.7427427673288
430,156.74274174863348
431,156.7427407299381
432,156.74273971124282
433,156.7427386925475
434,156.74273767385228
435,156.7427366551569
436,156.7427356364616
437,156.7427346177663
438,156.74273359907102
439,156.74273258037564
440,156.7427315616804
441,156.74273054298507
442,156.74272952428976
443,156.74272850559447
444,156.74272748689913
445,156.74272646820378
446,156.74272544950855
447,156.74272443081318
448,156.74272341211793
449,156.74272239342258
450,156.74272137472727
451,156.74272035603198
452,156.74271933733667
453,156.74271831864132
454,156.7427172999461
455,156.7427162812508
456,156.74271526255544
457,156.74271424386015
458,156.7427132251648
459,156.74271220646952
460,156.74271118777418
461,156.7427101690789
462,156.7427091503836
463,156.74270813168826
464,156.742707112993
465,156.74270609429766
466,156.74270507560237
467,156.74270405690703
468,156.74270303821174
469,156.74270201951643
470,156.7427010008211
471,156.74269998212583
472,156.74269896343054
473,156.74269794473526
474,156.7426969260399
475,156.7426959073446
476,156.74269488864928
477,156.74269386995402
478,156.74269285125865
479,156.74269183256337
480,156.74269081386808
481,156.74268979517274
482,156.7426887764774
483,156.7426877577821
484,156.74268673908688
485,156.74268572039153
486,156.7426847016962
487,156.74268368300088
488,156.74268266430562
489,156.74268164561033
490,156.74268062691502
491,156.7426796082197
492,156.74267858952436
493,156.74267757082902
494,156.74267655213367
495,156.74267553343844
496,156.7426745147431
497,156.74267349604787
498,156.74267247735247
499,156.74267145865718
500,156.74267043996196
501,156.74266942126656
502,156.74266840257127
503,156.74266738387595
504,156.74266636518064
505,68.23355087353762
506,68.23355153310843
507,68.23355219267924
508,68.23355285225009
509,68.23355351182093
510,46.525920860475225
511,46.525921904781136
512,46.525922949087025
513,46.52592399339291
514,46.52592503769874
515,46.52592608200467
516,46.52592712631056
517,46.525928170616396
518,46.525929214922364
519,46.52593025922819
520,46.52593130353409
521,46.52593234783997
522,46.52593339214584
523,46.525934436451735
524,46.52593548075762
525,46.52593652506348
526,46.52593756936936
527,46.52593861367529
528,46.525939657981155
529,46.52594070228706
530,46.525941746592906
531,46.525942790898824
532,46.52594383520468
533,46.52594487951055
534,46.525945923816415
535,46.52594696812233
536,46.52594801242826
537,46.5259490567341
538,46.525950101040024
539,46.525951145345864
540,46.52595218965178
541,46.525953233957644
542,46.52595427826352
543,46.52595532256938
544,46.52595636687528
545,46.52595741118119
546,46.525958455487014
547,46.52595949979295
548,46.5259605440988
549,46.52596158840472
550,46.52596263271058
551,46.52596367701647
552,46.52596472132236
553,46.52596576562824
554,46.52596680993416
555,46.52596785423997
556,46.5259688985459
557,46.52596994285177
558,46.52597098715765
559,46.52597203146358
560,46.525973075769414
561,46.5259741200753
562,46.5259751643812
563,46.525976208687105
564,46.52597725299295
565,46.525978297298835
566,46.52597934160471
567,46.52598038591064
568,46.52598143021649
569,46.5259824745224
570,46.525983518828255
571,46.525984563134145
572,46.52598560744009
573,46.52598665174593
574,46.52598769605183
575,46.52598874035766
576,46.52598978466356
577,46.52599082896944
578,46.525991873275274
579,46.52599291758123
580,46.52599396188709
581,46.52599500619304
582,46.5259960504989
583,46.52599709480474
584,46.525998139110655
585,46.52599918341653
586,46.52600022772243
587,46.52600127202828
588,46.526002316334164
589,46.52600336064003
590,46.526004404945986
591,46.526005449251855
592,46.526006493557716
593,46.5260075378636
594,46.52600858216947
595,46.526009626475386
596,46.52601067078122
597,46.52601171508712
598,46.52601275939303
599,46.526013803698895
600,46.52601484800479
601,46.526015892310696
602,46.526016936616564
603,46.52601798092243
604,46.52601902522831
605,24.87799187944162
606,24.87799277980667
607,24.87799368017173
608,24.877994580536857
609,24.87799548090188
610,24.87799638126701
611,19.659135210915398
612,19.659136082248505
613,19.65913695358155
614,19.659137824914644
615,19.659138696247716
616,19.659139567580763
617,19.659140438913816
618,19.65914131024692
619,19.659142181579984
620,19.65914305291306
621,19.659143924246134
622,19.659144795579174
623,19.659145666912284
624,19.65914653824531
625,19.659147409578352
626,19.65914828091149
627,19.65914915224451
628,19.659150023577602
629,19.659150894910677
630,19.659151766243777
631,19.659152637576796
632,19.659153508909885
633,19.659154380242963
634,19.65915525157602
635,19.659156122909067
636,19.65915699424217
637,19.659157865575253
638,19.65915873690829
639,19.659159608241353
640,19.659160479574474
641,19.659161350907517
642,19.659162222240575
643,19.659163093573667
644,19.65916396490675
645,19.65916483623977
646,19.65916570757287
647,19.659166578905936
648,19.659167450239
649,19.659168321572057
650,19.659169192905125
651,19.659170064238268
652,19.65917093557125
653,19.659171806904393
654,19.65917267823745
655,19.659173549570486
656,19.659174420903547
657,19.659175292236604
658,19.659176163569683
659,19.659177034902733
660,19.65917790623585
661,19.659178777568904
662,19.659179648901997
663,19.659180520235054
664,19.659181391568136
665,19.65918226290122
666,19.65918313423424
667,19.659184005567337
668,19.659184876900397
669,19.659185748233455
670,19.659186619566537
671,19.659187490899612
672,19.659188362232676
673,19.65918923356578
674,19.659190104898798
675,19.659190976231894
676,19.659191847564955
677,19.65919271889801
678,19.6591935902311
679,19.659194461564162
680,19.659195332897262
681,19.659196204230298
682,19.65919707556339
683,19.659197946896448
684,19.659198818229495
685,19.659199689562612
686,19.659200560895624
687,19.659201432228755
688,19.659202303561734
689,19.659203174894863
690,19.65920404622788
691,19.65920491756102
692,19.65920578889408
693,19.659206660227145
694,19.659207531560206
695,19.659208402893295
696,19.65920927422639
697,19.659210145559413
698,19.659211016892524
699,19.65921188822557
700,19.65921275955865
701,19.659213630891664
702,19.65921450222479
703,19.659215373557846
704,19.659216244890885
705,13.103189405792719
706,13.103190117353034
707,13.103190828913444
708,13.103191540473677
709,13.103192252034024
710,13.103192963594315
711,13.1031936751546
712,11.499819255405995
713,11.499819972038258
714,11.499820688670532
715,11.499821405302766
716,11.499822121934937
717,11.499822838567175
718,11.499823555199375
719,11.499824271831603
720,11.499824988463786
721,11.499825705096058
722,11.499826421728267
723,11.499827138360477
724,11.49982785499268
725,11.499828571624928
726,11.499829288257187
727,11.499830004889372
728,11.499830721521645
729,11.499831438153862
730,11.499832154786054
731,11.499832871418318
732,11.49983358805059
733,11.499834304682738
734,11.499835021314986
735,11.499835737947189
736,11.499836454579425
737,11.499837171211606
738,11.499837887843851
739,11.49983860447612
740,11.499839321108304
741,11.49984003774057
742,11.499840754372803
743,11.499841471005032
744,11.499842187637254
745,11.499842904269475
746,11.499843620901677
747,11.49984433753387
748,11.49984505416604
749,11.499845770798327
750,11.499846487430561
751,11.499847204062739
752,11.499847920694979
753,11.499848637327236
754,11.499849353959487
755,11.499850070591641
756,11.499850787223895
757,11.499851503856199
758,11.49985222048838
759,11.499852937120641
760,11.49985365375285
761,11.499854370385089
762,11.499855087017261
763,11.499855803649465
764,11.499856520281739
765,11.499857236913947
766,11.499857953546181
767,11.499858670178325
768,11.499859386810622
769,11.499860103442813
770,11.499860820075055
771,11.499861536707265
772,11.499862253339503
773,11.499862969971762
774,11.499863686603916
775,11.499864403236247
776,11.499865119868463
777,11.499865836500645
778,11.499866553132865
779,11.499867269765039
780,11.499867986397224
781,11.49986870302952
782,11.499869419661737
783,11.499870136293913
784,11.49987085292622
785,11.499871569558408
786,11.499872286190694
787,11.49987300282292
788,11.499873719455122
789,11.49987443608734
790,11.499875152719573
791,11.499875869351786
792,11.499876585983989
793,11.499877302616238
794,11.49987801924843
795,11.499878735880648
796,11.499879452512879
797,11.499880169145094
798,11.499880885777394
799,11.499881602409559
800,11.4998823190418
801,11.499883035674
802,11.499883752306316
803,11.49988446893848
804,11.499885185570697
805,8.50520287563293
806,8.505203407132434
807,8.505203938631778
808,8.50520447013115
809,8.505205001630548
810,8.505205533129972
811,8.505206064629377
812,8.505206596128803
813,7.717026494739894
814,7.7170270103566665
815,7.7170275259734264
816,7.717028041590222
817,7.717028557206988
818,7.717029072823668
819,7.71702958844051
820,7.717030104057296
821,7.717030619674006
822,7.717031135290813
823,7.717031650907536
824,7.717032166524334
825,7.7170326821410615
826,7.717033197757844
827,7.717033713374558
828,7.7170342289913085
829,7.717034744608072
830,7.717035260224877
831,7.717035775841675
832,7.717036291458405
833,7.71703680707518
834,7.717037322691956
835,7.7170378383086815
836,7.717038353925481
837,7.717038869542257
838,7.717039385158987
839,7.717039900775753
840,7.7170404163925195
841,7.717040932009263
842,7.717041447626011
843,7.717041963242809
844,7.717042478859521
845,7.717042994476324
846,7.717043510093067
847,7.717044025709865
848,7.7170445413266
849,7.717045056943352
850,7.717045572560169
851,7.717046088176944
852,7.717046603793633
853,7.717047119410499
854,7.717047635027202
855,7.717048150643964
856,7.717048666260757
857,7.717049181877505
858,7.71704969749429
859,7.717050213110979
860,7.717050728727745
861,7.717051244344511
862,7.717051759961291
863,7.717052275578067
864,7.7170527911947735
865,7.717053306811631
866,7.717053822428397
867,7.717054338045141
868,7.717054853661948
869,7.717055369278633
870,7.717055884895476
871,7.717056400512156
872,7.7170569161289135
873,7.717057431745689
874,7.7170579473625
875,7.717058462979262
876,7.717058978595987
877,7.717059494212727
878,7.717060009829515
879,7.717060525446246
880,7.717061041063079
881,7.717061556679823
882,7.717062072296553
883,7.717062587913342
884,7.7170631035301
885,7.717063619146893
886,7.717064134763636
887,7.717064650380366
888,7.717065165997164
889,7.717065681613844
890,7.717066197230692
891,7.717066712847409
892,7.717067228464202
893,7.717067744080987
894,7.71706825969773
895,7.7170687753144875
896,7.717069290931272
897,7.717069806548043
898,7.717070322164768
899,7.717070837781571
900,7.717071353398296
901,7.717071869015071
902,7.717072384631847
903,7.717072900248663
904,7.717073415865293
905,5.623680306662072
906,5.62368068457175
907,5.6236810624815465
908,5.623681440391274
909,5.623681818301138
910,5.623682196210844
911,5.623682574120662
912,5.623682952030422
913,5.623683329940231
914,5.149226960415167
915,5.14922732195133
916,5.14922768348747
917,5.1492280450235555
918,5.149228406559737
919,5.1492287680958775
920,5.14922912963199
921,5.149229491168126
922,5.149229852704293
923,5.149230214240387
924,5.149230575776515
925,5.149230937312673
926,5.149231298848804
927,5.149231660384953
928,5.149232021921116
929,5.149232383457215
930,5.149232744993415
931,5.149233106529445
932,5.149233468065622
933,5.149233829601839
934,5.149234191137939
935,5.149234552673984
936,5.149234914210196
937,5.149235275746324
938,5.149235637282477
939,5.149235998818608
940,5.149236360354726
941,5.1492367218908655
942,5.149237083426997
943,5.149237444963146
944,5.149237806499291
945,5.1492381680353905
946,5.149238529571571
947,5.149238891107707
948,5.149239252643915
949,5.149239614179964
950,5.1492399757160365
951,5.149240337252281
952,5.14924069878839
953,5.149241060324571
954,5.149241421860715
955,5.149241783396774
956,5.149242144932946
957,5.1492425064690766
958,5.149242868005213
959,5.149243229541358
960,5.1492435910774885
961,5.1492439526136335
962,5.149244314149805
963,5.149244675685895
964,5.149245037222049
965,5.14924539875819
966,5.149245760294329
967,5.1492461218304655
968,5.149246483366614
969,5.149246844902727
970,5.149247206438854
971,5.149247567974958
972,5.149247929511084
973,5.149248291047306
974,5.149248652583465
975,5.149249014119559
976,5.149249375655691
977,5.14924973719179
978,5.149250098727935
979,5.149250460264093
980,5.149250821800292
981,5.149251183336392
982,5.149251544872581
983,5.149251906408631
984,5.149252267944775
985,5.14925262948092
986,5.149252991017079
987,5.149253352553137
988,5.149253714089295
989,5.149254075625495
990,5.149254437161571
991,5.149254798697735
992,5.149255160233829
993,5.149255521770001
994,5.149255883306141
995,5.14925624484225
996,5.149256606378408
997,5.149256967914607
998,5.149257329450743
999,5.149257690986888
1000,5.149258052522978
1001,5.1492584140591315
1002,5.149258775595249
1003,5.149259137131435
1004,5.149259498667516
1005,3.759138250908363
1006,3.759138515080817
1007,3.7591387792533713
1008,3.75913904342578
1009,3.7591393075982933
1010,3.759139571770743
1011,3.759139835943279
1012,3.759140100115751
1013,3.7591403642882186
1014,3.759140628460677
1015,3.4276408769114095
1016,3.427641126417643
1017,3.427641375923622
1018,3.427641625429851
1019,3.4276418749359028
1020,3.427642124442045
1021,3.427642373948147
1022,3.427642623454285
1023,3.4276428729604413
1024,3.427643122466561
1025,3.4276433719727537
1026,3.4276436214787465
1027,3.4276438709849755
1028,3.4276441204910224
1029,3.427644369997197
1030,3.427644619503317
1031,3.427644869009464
1032,3.4276451185156476
1033,3.4276453680217402
1034,3.4276456175278462
1035,3.42764586703403
