ATS (100 broadcast interval, tuning parameters = 0.9)
Tick,Average error
0,869.9796209627406
1,869.9796187022254
2,869.9796164417105
3,869.9796141811953
4,869.9796119206804
5,869.9796096601655
6,869.9796073996507
7,869.9796051391354
8,869.9796028786203
9,869.9796006181052
10,869.9795983575902
11,869.9795960970755
12,869.9795938365605
13,869.9795915760457
14,869.9795893155306
15,869.9795870550156
16,869.9795847945007
17,869.9795825339855
18,869.9795802734708
19,869.9795780129556
20,869.9795757524407
21,869.9795734919257
22,869.9795712314105
23,869.9795689708957
24,869.9795667103809
25,869.9795644498657
26,869.9795621893509
27,869.9795599288357
28,869.9795576683208
29,869.9795554078055
30,869.9795531472907
31,869.9795508867759
32,869.9795486262606
33,869.9795463657458
34,869.9795441052306
35,869.9795418447158
36,869.9795395842008
37,869.9795373236857
38,869.9795350631709
39,869.9795328026561
40,869.9795305421409
41,869.979528281626
42,869.9795260211108
43,869.9795237605956
44,869.9795215000808
45,869.979519239566
46,869.9795169790507
47,869.9795147185358
48,869.979512458021
49,869.9795101975059
50,869.979507936991
51,869.9795056764759
52,869.9795034159611
53,869.9795011554462
54,869.9794988949309
55,869.9794966344161
56,869.9794943739012
57,869.9794921133864
58,869.9794898528711
59,869.9794875923561
60,869.9794853318411
61,869.9794830713261
62,869.9794808108115
63,869.979478550296
64,869.9794762897814
65,869.9794740292666
66,869.9794717687511
67,869.9794695082361
68,869.9794672477213
69,869.9794649872061
70,869.9794627266913
71,869.9794604661761
72,869.9794582056612
73,869.979455945146
74,869.9794536846313
75,869.9794514241163
76,869.9794491636015
77,869.9794469030865
78,869.9794446425715
79,869.9794423820566
80,869.9794401215414
81,869.9794378610263
82,869.9794356005115
83,869.9794333399966
84,869.9794310794814
85,869.9794288189665
86,869.9794265584517
87,869.9794242979365
88,869.9794220374213
89,869.9794197769065
90,869.9794175163915
91,869.9794152558766
92,869.9794129953615
93,869.9794107348465
94,869.9794084743314
95,869.9794062138164
96,869.9794039533015
97,869.9794016927865
98,869.9793994322717
99,869.9793971717568
100,869.9793949112417
101,869.9793926507267
102,869.9793903902116
103,869.9793881296968
104,869.9793858691817
105,688.5146309211508
106,383.1962981945478
107,383.1963035144379
108,383.19630883432814
109,383.19631415421844
110,383.1963194741088
111,383.1963247939991
112,383.1963301138892
113,383.19633543377944
114,383.1963407536698
115,383.1963460735601
116,383.1963513934503
117,383.19635671334055
118,383.1963620332309
119,383.19636735312116
120,383.1963726730113
121,383.1963779929016
122,383.19638331279185
123,383.19638863268204
124,383.1963939525724
125,383.19639927246266
126,383.196404592353
127,383.1964099122431
128,383.19641523213346
129,383.19642055202365
130,383.196425871914
131,383.1964311918043
132,383.19643651169457
133,383.1964418315848
134,383.196447151475
135,383.19645247136526
136,383.19645779125545
137,383.19646311114576
138,383.19646843103607
139,383.1964737509264
140,383.1964790708166
141,383.196484390707
142,383.19648971059706
143,383.1964950304874
144,383.1965003503776
145,383.19650567026804
146,383.1965109901581
147,383.19651631004837
148,383.1965216299388
149,383.1965269498289
150,383.1965322697192
151,383.1965375896096
152,383.19654290949967
153,383.19654822938986
154,383.1965535492803
155,383.19655886917053
156,383.1965641890607
157,383.19656950895114
158,383.1965748288414
159,383.19658014873147
160,383.19658546862195
161,383.1965907885122
162,383.1965961084024
163,383.19660142829264
164,383.1966067481829
165,383.1966120680733
166,383.1966173879635
167,383.1966227078537
168,383.19662802774394
169,383.1966333476342
170,383.19663866752444
171,383.19664398741475
172,383.1966493073051
173,383.19665462719524
174,383.19665994708555
175,383.19666526697574
176,383.1966705868661
177,383.19667590675635
178,383.19668122664655
179,383.19668654653674
180,383.1966918664272
181,383.1966971863174
182,383.1967025062076
183,383.19670782609785
184,383.19671314598827
185,383.19671846587846
186,383.19672378576877
187,383.19672910565896
188,383.19673442554915
189,383.1967397454394
190,383.1967450653298
191,383.19675038522007
192,383.1967557051101
193,383.1967610250005
194,383.19676634489076
195,383.19677166478107
196,383.19677698467143
197,383.19678230456174
198,383.1967876244518
199,383.196792944342
200,383.19679826423226
201,383.1968035841226
202,383.1968089040129
203,383.1968142239032
204,383.1968195437933
205,323.1932832780037
206,323.19329990385575
207,214.09767072015072
208,214.09768605836283
209,214.09770139657485
210,214.09771673478699
211,214.09773207299895
212,214.09774741121097
213,214.09776274942305
214,214.09777808763508
215,214.09779342584716
216,214.09780876405927
217,214.09782410227123
218,214.09783944048334
219,214.09785477869534
220,214.09787011690744
221,214.0978854551195
222,214.0979007933315
223,214.0979161315436
224,214.09793146975568
225,214.09794680796776
226,214.0979621461798
227,214.09797748439186
228,214.0979928226039
229,214.09800816081597
230,214.098023499028
231,214.09803883724
232,214.0980541754521
233,214.09806951366411
234,214.0980848518762
235,214.09810019008822
236,214.09811552830027
237,214.09813086651232
238,214.09814620472432
239,214.0981615429364
240,214.09817688114842
241,214.09819221936053
242,214.09820755757258
243,214.09822289578463
244,214.09823823399677
245,214.0982535722088
246,214.09826891042084
247,214.09828424863292
248,214.09829958684492
249,214.09831492505694
250,214.09833026326902
251,214.0983456014811
252,214.09836093969315
253,214.0983762779052
254,214.09839161611723
255,214.09840695432933
256,214.09842229254136
257,214.0984376307534
258,214.09845296896543
259,214.09846830717746
260,214.09848364538956
261,214.09849898360167
262,214.09851432181367
263,214.09852966002578
264,214.0985449982377
265,214.09856033644988
266,214.09857567466182
267,214.09859101287398
268,214.09860635108595
269,214.09862168929806
270,214.09863702751008
271,214.09865236572213
272,214.09866770393418
273,214.09868304214618
274,214.09869838035826
275,214.09871371857034
276,214.0987290567824
277,214.09874439499436
278,214.09875973320646
279,214.0987750714185
280,214.09879040963054
281,214.09880574784273
282,214.09882108605467
283,214.0988364242667
284,214.09885176247883
285,214.09886710069085
286,214.09888243890285
287,214.09889777711498
288,214.098913115327
289,214.0989284535391
290,214.0989437917511
291,214.09895912996322
292,214.09897446817521
293,214.0989898063873
