ATS (100 broadcast interval, tuning parameters = 0.1)
Tick,Average error
0,742.4963504365567
1,742.4963584678105
2,742.4963664990642
3,742.4963745303179
4,742.4963825615714
5,742.4963905928248
6,742.4963986240787
7,742.4964066553323
8,742.4964146865859
9,742.4964227178394
10,742.496430749093
11,742.4964387803468
12,742.4964468116002
13,742.4964548428542
14,742.4964628741076
15,742.4964709053609
16,742.4964789366147
17,742.4964869678682
18,742.4964949991221
19,742.4965030303756
20,742.4965110616292
21,742.4965190928829
22,742.4965271241365
23,742.4965351553901
24,742.4965431866439
25,742.4965512178974
26,742.496559249151
27,742.4965672804045
28,742.4965753116583
29,742.4965833429119
30,742.4965913741656
31,742.4965994054191
32,742.4966074366725
33,742.4966154679263
34,742.4966234991798
35,742.4966315304335
36,742.4966395616872
37,742.4966475929407
38,742.4966556241945
39,742.496663655448
40,742.4966716867016
41,742.4966797179553
42,742.4966877492085
43,742.4966957804626
44,742.496703811716
45,742.4967118429698
46,742.4967198742233
47,742.496727905477
48,742.4967359367307
49,742.4967439679839
50,742.4967519992379
51,742.4967600304913
52,742.4967680617451
53,742.4967760929987
54,742.4967841242521
55,742.4967921555058
56,742.4968001867594
57,742.4968082180129
58,742.4968162492667
59,742.4968242805203
60,742.4968323117739
61,742.4968403430274
62,742.4968483742813
63,742.4968564055348
64,742.4968644367884
65,742.4968724680419
66,742.4968804992957
67,742.4968885305492
68,742.496896561803
69,742.4969045930566
70,742.4969126243102
71,742.4969206555638
72,742.4969286868176
73,742.496936718071
74,742.4969447493244
75,742.4969527805783
76,742.4969608118316
77,742.4969688430855
78,742.4969768743389
79,742.4969849055925
80,742.4969929368463
81,742.4970009681
82,742.4970089993535
83,742.4970170306069
84,742.4970250618607
85,742.4970330931146
86,742.4970411243681
87,742.4970491556218
88,742.4970571868752
89,742.497065218129
90,742.4970732493824
91,742.497081280636
92,742.4970893118897
93,742.4970973431432
94,742.4971053743968
95,742.4971134056503
96,742.4971214369041
97,742.4971294681578
98,742.4971374994115
99,742.4971455306649
100,742.4971535619183
101,742.4971615931723
102,742.4971696244261
103,742.4971776556796
104,742.4971856869332
105,418.1701797603782
106,697.2474739510612
107,697.2474657653253
108,697.2474575795889
109,697.2474493938525
110,697.2474412081167
111,697.2474330223803
112,697.2474248366439
113,697.2474166509078
114,697.2474084651716
115,697.2474002794353
116,697.2473920936989
117,697.2473839079629
118,697.2473757222268
119,697.2473675364904
120,697.2473593507541
121,697.247351165018
122,697.2473429792817
123,697.2473347935456
124,697.2473266078096
125,697.247318422073
126,697.247310236337
127,697.2473020506005
128,697.2472938648642
129,697.2472856791279
130,697.2472774933918
131,697.2472693076558
132,697.2472611219195
133,697.247252936183
134,697.247244750447
135,697.2472365647106
136,697.2472283789743
137,697.2472201932381
138,697.2472120075024
139,697.2472038217658
140,697.2471956360297
141,697.2471874502936
142,697.2471792645572
143,697.247171078821
144,697.2471628930848
145,697.2471547073484
146,697.2471465216123
147,697.2471383358761
148,697.2471301501398
149,697.2471219644036
150,697.2471137786674
151,697.2471055929313
152,697.2470974071949
153,697.2470892214587
154,697.2470810357223
155,697.2470728499861
156,697.2470646642499
157,697.2470564785139
158,697.2470482927773
159,697.2470401070414
160,697.2470319213052
161,697.247023735569
162,697.2470155498326
163,697.2470073640966
164,697.2469991783603
165,697.2469909926238
166,697.2469828068878
167,697.2469746211516
168,697.2469664354153
169,697.246958249679
170,697.2469500639428
171,697.2469418782067
172,697.2469336924702
173,697.2469255067342
174,697.246917320998
175,697.2469091352617
176,697.2469009495256
177,697.2468927637893
178,697.246884578053
179,697.246876392317
180,697.2468682065806
181,697.2468600208446
182,697.2468518351083
183,697.2468436493718
184,697.2468354636358
185,697.2468272778996
186,697.2468190921632
187,697.2468109064273
188,697.2468027206909
189,697.2467945349546
190,697.2467863492185
191,697.2467781634822
192,697.2467699777459
193,697.2467617920097
194,697.2467536062737
195,697.2467454205372
196,697.246737234801
197,697.2467290490649
198,697.2467208633285
199,697.2467126775923
200,697.2467044918561
201,697.24669630612
202,697.2466881203837
203,697.2466799346474
204,697.2466717489114
205,177.28362260987308
206,177.28362009100766
207,855.0654042208047
208,855.0653755879497
209,855.0653469550948
210,855.0653183222404
211,855.0652896893855
212,855.0652610565309
213,855.0652324236761
214,855.0652037908214
215,855.0651751579666
216,855.065146525112
217,855.0651178922569
218,855.0650892594026
219,855.065060626548
220,855.065031993693
221,855.0650033608383
222,855.0649747279837
223,855.064946095129
224,855.064917462274
225,855.0648888294194
226,855.0648601965647
227,855.0648315637101
228,855.0648029308552
229,855.0647742980004
230,855.0647456651459
231,855.0647170322911
232,855.0646883994362
233,855.0646597665815
234,855.0646311337268
235,855.0646025008723
236,855.0645738680172
237,855.0645452351625
238,855.0645166023081
239,855.0644879694532
240,855.0644593365982
241,855.0644307037437
242,855.0644020708891
243,855.0643734380345
244,855.0643448051795
245,855.0643161723247
246,855.0642875394701
247,855.0642589066157
248,855.0642302737605
249,855.0642016409059
250,855.0641730080512
251,855.0641443751966
252,855.064115742342
253,855.0640871094869
254,855.0640584766323
255,855.0640298437777
256,855.0640012109227
257,855.0639725780682
258,855.0639439452134
259,855.0639153123586
260,855.0638866795039
261,855.0638580466492
262,855.0638294137941
263,855.0638007809399
264,855.0637721480849
265,855.0637435152303
266,855.0637148823755
267,855.0636862495209
268,855.0636576166662
269,855.0636289838116
270,855.0636003509566
271,855.063571718102
272,855.0635430852473
273,855.0635144523924
274,855.0634858195378
275,855.063457186683
276,855.0634285538283
277,855.0633999209736
278,855.0633712881188
279,855.0633426552638
280,855.0633140224095
281,855.0632853895546
282,855.0632567566998
283,855.0632281238453
284,855.0631994909904
285,855.0631708581357
286,855.0631422252809
287,855.0631135924264
288,855.0630849595716
289,855.0630563267167
290,855.063027693862
291,855.0629990610074
292,855.0629704281529
293,855.0629417952978
294,855.0629131624431
295,855.0628845295886
296,855.0628558967342
297,855.0628272638791
298,855.0627986310242
299,855.0627699981696
300,855.062741365315
301,855.0627127324601
302,855.0626840996053
303,855.0626554667506
304,855.062626833896
305,829.5588547968349
306,829.5588353912062
307,829.558815985577
308,464.0539130980159
309,464.053898914527
310,464.0538847310383
311,464.0538705475494
312,464.0538563640608
313,464.05384218057196
314,464.05382799708315
315,464.05381381359416
316,464.0537996301055
317,464.0537854466167
318,464.05377126312794
319,464.0537570796392
320,464.05374289615037
321,464.0537287126618
322,464.0537145291728
323,464.053700345684
324,464.0536861621951
325,464.05367197870646
326,464.05365779521765
327,464.05364361172883
328,464.05362942824
329,464.0536152447512
330,464.0536010612624
331,464.05358687777357
332,464.05357269428475
333,464.05355851079617
334,464.05354432730724
335,464.0535301438184
336,464.05351596032955
337,464.05350177684085
338,464.05348759335203
339,464.0534734098632
340,464.0534592263744
341,464.0534450428857
342,464.053430859397
343,464.05341667590807
344,464.0534024924193
345,464.0533883089306
346,464.05337412544185
347,464.053359941953
348,464.0533457584641
349,464.0533315749753
350,464.0533173914867
351,464.0533032079977
352,464.0532890245089
353,464.05327484102025
354,464.05326065753144
355,464.0532464740425
356,464.05323229055364
357,464.053218107065
358,464.05320392357623
359,464.0531897400874
360,464.05317555659866
361,464.0531613731097
362,464.0531471896211
363,464.0531330061322
364,464.05311882264346
365,464.0531046391547
366,464.0530904556659
367,464.053076272177
368,464.0530620886883
369,464.0530479051995
370,464.0530337217107
371,464.05301953822186
372,464.05300535473305
373,464.05299117124423
374,464.05297698775547
375,464.05296280426666
376,464.0529486207779
377,464.0529344372889
378,464.0529202538004
379,464.0529060703115
380,464.05289188682286
381,464.0528777033339
382,464.0528635198453
383,464.05284933635625
384,464.05283515286754
385,464.0528209693788
386,464.0528067858899
387,464.0527926024011
388,464.0527784189124
389,464.0527642354236
