Time,Error
0,846.6273883
100,846.6273097
200,566.1616974
300,115.7843584
400,303.9179698
500,146.7324408
600,200.1728698
700,202.2132876
800,135.7855232
900,45.37379869
1000,12.84936402
1100,16.34222962
1200,14.41599569
1300,13.40053309
1400,13.56958191
1500,14.22325764
1600,12.7680564
1700,12.90038548
1800,14.44486338
1900,13.04910457
2000,12.55987466
2100,12.46311396
2200,11.29643356
2300,14.15647138
2400,12.57586546
2500,13.65732601
2600,12.86019048
2700,11.86822284
2800,12.72702393
2900,10.23499042
3000,8.203274314
3100,6.958254656
3200,9.90236996
3300,7.314727458
3400,7.532403935
3500,8.98820632
3600,10.85992231
3700,10.28786816
3800,10.28214247
3900,10.37747685
4000,10.93982906
4100,11.83166796
4200,10.72492395
4300,12.58232232
4400,10.156196
4500,8.856189021
4600,7.268962392
4700,7.856381338
4800,6.924514255
4900,7.527977578
5000,5.393059603
5100,15.31531599
5200,14.25693448
5300,13.81047195
5400,12.17009049
5500,10.75929014
5600,9.542514228
5700,8.89930794
5800,8.130592326
5900,6.095857834
6000,5.751398965
6100,4.465624707
6200,4.438311879
6300,3.417725411
6400,4.202834799
6500,3.648318576
6600,4.834721372
6700,4.774932474
6800,5.353222656
6900,4.572145552
7000,5.560674124
7100,4.353755357
7200,5.97332675
7300,4.73496158
7400,5.406483321
7500,4.189625358
7600,1.964629111
7700,4.622904948
7800,4.153949616
7900,3.640528159
8000,2.491862232
8100,1.844163006
8200,0.8473650943
8300,0.8771970153
8400,0.8518429246
8500,0.5398843683
8600,0.8531110984
8700,0.4934825161
8800,0.8475220608
8900,0.4913354354
9000,0.472341106
9100,0.841590803
9200,1.199065141
9300,1.919155453
9400,2.607459026
9500,1.615116815
9600,0.1678734634
9700,0.1651680324
9800,1.513410814
9900,0.84181163
