ATS (100 broadcast interval, tuning parameters = 0.5)
Tick,Average error
0,778.4828570119166
1,778.4828750030025
2,778.4828929940886
3,778.4829109851747
4,778.4829289762606
5,778.4829469673465
6,778.4829649584324
7,778.4829829495181
8,778.4830009406041
9,778.4830189316901
10,778.4830369227763
11,778.483054913862
12,778.4830729049479
13,778.4830908960337
14,778.4831088871198
15,778.4831268782057
16,778.4831448692917
17,778.4831628603774
18,778.4831808514634
19,778.4831988425494
20,778.4832168336355
21,778.4832348247212
22,778.4832528158071
23,778.483270806893
24,778.4832887979791
25,778.4833067890648
26,778.4833247801508
27,778.4833427712366
28,778.4833607623227
29,778.4833787534085
30,778.4833967444944
31,778.4834147355805
32,778.4834327266665
33,778.4834507177522
34,778.4834687088382
35,778.4834866999244
36,778.4835046910101
37,778.4835226820962
38,778.4835406731819
39,778.4835586642679
40,778.4835766553541
41,778.4835946464399
42,778.4836126375255
43,778.4836306286115
44,778.4836486196975
45,778.4836666107835
46,778.4836846018693
47,778.4837025929554
48,778.4837205840414
49,778.4837385751272
50,778.483756566213
51,778.4837745572992
52,778.4837925483849
53,778.4838105394708
54,778.4838285305565
55,778.4838465216428
56,778.4838645127286
57,778.4838825038147
58,778.4839004949005
59,778.4839184859865
60,778.4839364770725
61,778.4839544681583
62,778.4839724592441
63,778.4839904503303
64,778.4840084414159
65,778.484026432502
66,778.4840444235879
67,778.4840624146736
68,778.4840804057596
69,778.4840983968456
70,778.4841163879317
71,778.4841343790173
72,778.4841523701035
73,778.4841703611893
74,778.4841883522755
75,778.484206343361
76,778.4842243344472
77,778.4842423255332
78,778.484260316619
79,778.4842783077048
80,778.4842962987907
81,778.4843142898769
82,778.4843322809627
83,778.4843502720485
84,778.4843682631346
85,778.4843862542205
86,778.4844042453067
87,778.4844222363924
88,778.4844402274783
89,778.4844582185644
90,778.4844762096502
91,778.4844942007361
92,778.4845121918221
93,778.4845301829077
94,778.4845481739939
95,778.4845661650797
96,778.4845841561656
97,778.4846021472514
98,778.4846201383376
99,778.4846381294234
100,778.4846561205095
101,778.4846741115954
102,778.4846921026815
103,778.4847100937674
104,778.484728084853
105,318.29459339007445
106,447.3060108785284
107,447.3060155697351
108,447.3060202609418
109,447.3060249521483
110,447.30602964335486
111,447.3060343345614
112,447.3060390257682
113,447.30604371697467
114,447.3060484081814
115,447.30605309938784
116,447.3060577905946
117,447.3060624818011
118,447.3060671730076
119,447.30607186421423
120,447.3060765554209
121,447.3060812466275
122,447.3060859378342
123,447.3060906290409
124,447.3060953202473
125,447.306100011454
126,447.30610470266066
127,447.30610939386725
128,447.3061140850738
129,447.3061187762804
130,447.3061234674871
131,447.3061281586937
132,447.3061328499002
133,447.3061375411069
134,447.30614223231356
135,447.30614692352026
136,447.3061516147267
137,447.3061563059334
138,447.3061609971399
139,447.30616568834654
140,447.3061703795531
141,447.3061750707597
142,447.3061797619664
143,447.3061844531729
144,447.3061891443797
145,447.3061938355862
146,447.3061985267928
147,447.30620321799944
148,447.30620790920597
149,447.30621260041266
150,447.30621729161925
151,447.3062219828259
152,447.30622667403253
153,447.30623136523906
154,447.30623605644575
155,447.30624074765217
156,447.3062454388588
157,447.3062501300655
158,447.30625482127215
159,447.3062595124788
160,447.30626420368543
161,447.30626889489196
162,447.30627358609854
163,447.3062782773052
164,447.3062829685118
165,447.30628765971835
166,447.306292350925
167,447.30629704213163
168,447.30630173333833
169,447.3063064245449
170,447.3063111157515
171,447.30631580695814
172,447.3063204981647
173,447.30632518937125
174,447.3063298805779
175,447.30633457178453
176,447.3063392629912
177,447.3063439541977
178,447.30634864540434
179,447.306353336611
180,447.3063580278176
181,447.3063627190241
182,447.3063674102307
183,447.3063721014374
184,447.30637679264396
185,447.30638148385054
186,447.30638617505724
187,447.30639086626377
188,447.30639555747047
189,447.3064002486771
190,447.30640493988363
191,447.3064096310903
192,447.30641432229675
193,447.3064190135034
194,447.3064237047101
195,447.3064283959167
196,447.3064330871233
197,447.30643777833006
198,447.3064424695365
199,447.3064471607433
200,447.3064518519498
201,447.30645654315646
202,447.3064612343629
203,447.3064659255696
204,447.3064706167762
205,213.83489589605625
206,213.834895110412
207,270.0321040679608
208,270.0321088741372
209,270.0321136803136
210,270.03211848649005
211,270.0321232926665
212,270.03212809884286
213,270.0321329050193
214,270.0321377111957
215,270.03214251737205
216,270.0321473235485
217,270.03215212972486
218,270.0321569359013
219,270.0321617420777
220,270.0321665482541
221,270.0321713544306
222,270.03217616060704
223,270.0321809667833
224,270.0321857729598
225,270.03219057913617
226,270.0321953853126
227,270.032200191489
228,270.03220499766536
229,270.0322098038418
230,270.03221461001823
231,270.0322194161947
232,270.03222422237104
233,270.03222902854753
234,270.03223383472385
235,270.0322386409003
236,270.03224344707667
237,270.03224825325304
238,270.0322530594296
239,270.0322578656059
240,270.0322626717823
241,270.0322674779587
242,270.0322722841351
243,270.0322770903116
244,270.03228189648803
245,270.03228670266435
246,270.03229150884084
247,270.0322963150172
248,270.03230112119354
249,270.0323059273701
250,270.0323107335464
251,270.0323155397228
252,270.0323203458992
253,270.03232515207566
254,270.03232995825215
255,270.03233476442847
256,270.03233957060485
257,270.0323443767813
258,270.0323491829577
259,270.0323539891341
260,270.03235879531053
261,270.0323636014869
262,270.0323684076633
263,270.0323732138397
264,270.0323780200162
265,270.0323828261926
266,270.03238763236897
267,270.0323924385454
268,270.03239724472184
269,270.0324020508982
270,270.0324068570746
271,270.03241166325097
272,270.03241646942746
273,270.03242127560384
274,270.0324260817803
275,270.03243088795665
276,270.032435694133
277,270.0324405003095
278,270.03244530648584
279,270.03245011266233
280,270.0324549188387
281,270.03245972501514
282,270.0324645311915
283,270.0324693373679
284,270.03247414354433
285,270.03247894972077
286,270.03248375589715
287,270.03248856207364
288,270.03249336825
289,270.03249817442645
290,270.0325029806028
291,270.0325077867792
292,270.0325125929557
293,270.03251739913196
294,270.03252220530845
295,270.03252701148483
296,270.0325318176613
297,270.03253662383764
298,270.0325414300141
299,270.0325462361905
300,270.0325510423669
301,270.0325558485433
302,270.03256065471976
303,270.03256546089614
304,270.0325702670726
305,119.0702025060286
306,119.07019971440539
307,119.07019692278217
308,155.78097732537898
309,155.78097775638906
310,155.7809781873992
311,155.78097861840925
312,155.78097904941944
313,155.78097948042958
314,155.7809799114397
315,155.78098034244982
316,155.7809807734599
317,155.78098120447007
318,155.78098163548015
319,155.78098206649028
320,155.78098249750042
321,155.78098292851053
322,155.78098335952066
323,155.78098379053074
324,155.78098422154088
325,155.78098465255098
326,155.78098508356115
327,155.78098551457128
328,155.7809859455814
329,155.78098637659153
330,155.78098680760158
331,155.78098723861174
332,155.78098766962185
333,155.78098810063196
334,155.78098853164207
335,155.78098896265223
336,155.78098939366234
337,155.7809898246724
338,155.78099025568258
339,155.7809906866927
340,155.78099111770277
341,155.78099154871296
342,155.78099197972304
343,155.78099241073318
344,155.78099284174328
345,155.7809932727534
346,155.7809937037635
347,155.78099413477364
348,155.78099456578371
349,155.78099499679394
350,155.780995427804
351,155.78099585881418
352,155.7809962898243
353,155.78099672083434
354,155.7809971518445
355,155.78099758285464
356,155.78099801386475
357,155.78099844487488
358,155.78099887588502
359,155.78099930689507
360,155.7809997379052
361,155.7810001689153
362,155.78100059992545
363,155.78100103093556
364,155.78100146194566
365,155.7810018929558
366,155.7810023239659
367,155.78100275497607
368,155.78100318598615
369,155.78100361699632
370,155.78100404800645
371,155.78100447901653
372,155.78100491002667
373,155.78100534103672
374,155.7810057720469
375,155.78100620305696
376,155.78100663406713
377,155.78100706507723
378,155.78100749608737
379,155.7810079270975
380,155.7810083581076
381,155.7810087891177
